State,PopulationCount,Diabetes%,Long & Lat,Obesity %,Overweight %,In-Active %,Muscle Strengthening %,Low Aerobics %,High Aerobics %,Strength & Conditioning %,Low Veggies Consumption %,Low Fruit Consumption %
Alabama,2895464.0,13.426309047530891,"(32.84057112200048, -86.63186076199969)",33.41985580031708,34.40266520789685,30.35171857098218,24.379397749245573,43.95677250920822,25.80161020633381,15.482847937171195,25.599804503960264,45.60294680805392
Alaska,875478.0,7.560698612643608,"(64.84507995700051, -147.72205903599973)",28.337146337459952,37.627901149226645,20.65171904446596,34.14009597523218,57.32732376102979,37.255386183718,24.586289663133932,18.77631189083821,39.08751951766251
Arizona,11687735.0,9.18138346736985,"(34.865970280000454, -111.76381127699972)",27.033481601826647,36.21115507794922,22.76507809507597,31.002902132118177,53.82466702990678,34.435844806769424,22.613208531532923,20.743749373634518,38.15060002948547
Arkansas,1471103.0,10.403361083486342,"(34.74865012400045, -92.27449074299966)",33.93226891919961,34.85922101486915,32.90049112616532,22.912310116990966,43.908805267168894,27.368901603269407,14.846759528935044,27.518559684069338,48.6426813910685
California,67100209.0,9.794144393797644,"(37.63864012300047, -120.99999953799971)",24.05611830197993,35.882303418545604,19.66806698150821,32.60596369998978,58.27307870452846,36.68851216112371,23.77469726054429,16.757566148638812,31.444280057224105
Colorado,7530596.0,7.373473786138573,"(38.843840757000464, -106.13361092099967)",20.7198641783948,35.75688024829032,16.944604662983725,35.38897454218996,61.501305750830184,39.97417966521951,26.73895235125712,18.194225473039232,35.07642084943868
Connecticut,2614482.0,10.702947122986505,"(41.56266102000046, -72.64984095199964)",25.270319672711093,36.19141011069897,23.022135697701028,30.411319420127462,53.404144097854086,33.175655817691286,21.23858129116499,20.016770011075142,33.22244971588347
Delaware,212553.0,14.177551481277614,"(39.008830667000495, -75.57774116799965)",29.44346086863939,36.43370760020386,26.480698824305023,31.06042841751696,49.10557808803266,30.15588181317673,20.76183452196109,24.273253804270137,38.813472105088294
District of Columbia,1805136.0,8.87070431258365,"(38.89037138500049, -77.03196112699965)",22.511000607538477,31.285538838144568,19.40886807675353,34.919280832836606,58.186591723921225,35.15093002146757,25.46908314639264,19.371329988334672,33.23675925413601
Florida,15498792.0,11.273714448196996,"(28.932040377000476, -81.92896053899966)",26.1998974371292,36.65233478038385,26.25077973937611,29.274582592665737,51.60878522099449,32.89636253324585,20.310997980448505,20.772559666370775,37.47305054868582
Georgia,4655188.0,11.485594717119904,"(32.83968109300048, -83.62758034599966)",29.556174120550484,35.207763831013494,25.92435641189639,29.571800306229356,50.51056045495754,31.75857179599931,20.25978374055532,23.062096208299966,42.297438588782846
Hawaii,2859575.0,10.930848745005813,"(21.304850435000446, -157.85774940299973)",22.17921471642538,34.05486573994728,20.686345103969067,33.177255288220955,58.89968400000002,38.72403365658411,24.54639942699866,21.87584510878273,39.26535704156557
Idaho,1086951.0,7.824498344451589,"(43.682630005000476, -114.3637300419997)",28.148357288893557,36.22057940391459,21.049451604140888,29.80972515418685,56.03377899160552,35.43861751348585,21.33888496522205,19.28378358553045,37.98681671694654
Illinois,13342475.0,10.846942167776218,"(40.48501028300046, -88.99771017799969)",28.97807520713831,35.72757561270996,24.175280036826766,30.574236641221372,51.69578293559988,31.62371462908337,21.344290642282207,23.95912907234318,36.473999700284736
Indiana,5482268.0,11.691079020580544,"(39.766910452000445, -86.14996019399968)",31.7731239140627,34.814407647930395,28.375363882443924,25.517316153823597,44.87053076213936,26.875859046283317,16.188637492074882,26.42223465938345,42.221753743638565
Iowa,1945093.0,9.305029373916826,"(42.46940091300047, -93.81649055599968)",30.854645277224808,35.51128228978935,25.468975411562607,27.435391945566103,47.97843247743921,27.640765975454933,17.903169709033932,26.356402292350673,39.355784487470395
Kansas,3127363.0,10.29803409453908,"(38.34774030000045, -98.20078122699965)",31.062287042712907,34.97252682637176,25.701899110238656,26.40049861746974,49.02555413498787,29.193193224764286,17.792050258627548,22.033396237267432,41.701173990438136
Kentucky,2679375.0,11.25845646839282,"(37.645970271000465, -84.77497104799966)",32.263497373159716,34.916578690852425,30.295259250464216,25.983572875643183,45.94309255106818,28.76691817967459,16.81613051642025,24.557607408271107,45.728597545208
Louisiana,3095748.0,13.2484183144106,"(31.31266064400046, -92.44568007099969)",34.36573306452777,34.305055152366826,31.90933252722944,24.31265382214355,43.60528912030692,26.82374400741388,16.088580498055173,31.46069498277831,47.14813596491227
Maine,198582.0,7.502857761529244,"(45.254228894000505, -68.98503133599962)",28.514265266499443,36.56953266192762,22.32698133574762,27.918509205417905,55.35329524671903,35.869057959262136,19.979815796751197,17.934942858993303,33.267740096230476
Maryland,1862861.0,12.812926675688631,"(39.29058096400047, -76.60926011099963)",28.576942157545986,36.13388373116561,23.857360219301878,31.109822475594825,50.49462689275667,29.893995726610733,21.233604194394893,21.232376579246363,35.37889172046374
Massachusetts,5582948.0,9.866581777225935,"(42.27687047000046, -72.08269067499964)",23.393156966260122,35.76477421376939,22.29865657095103,31.64345834641423,54.967413556000224,34.83510287536756,22.72920875841836,19.777392118158144,31.94395883276513
Michigan,6675540.0,12.799464552680385,"(44.6613195430005, -84.71439026999968)",31.207154517998525,34.92938851184705,24.30758246579714,28.59725730549671,53.28846809587187,33.94625740471357,19.53886150553611,23.54708203837995,37.39370115390444
Minnesota,3269743.0,7.518465365626594,"(46.35564873600049, -94.79420050299967)",26.250865832415386,36.753053015492135,20.936679954995626,30.741382071163464,54.306959831872796,33.0944227834549,21.324991678664095,22.710996814808375,36.50869511104197
Mississippi,723920.0,14.215425875787382,"(32.745510099000455, -89.53803082499968)",34.99640489821067,34.537751439179594,35.29171939227856,23.69956322514552,38.41618848752897,22.73614041755137,14.156778371404467,31.016930713547048,50.07548479048746
